Teks_Manado,Teks_Indo
Ngana ba tele kunci rumah di Megamas jo.,Kamu menelepon kunci rumah di Megamas.
Tu dosen nyanda suka hp kemarin sore neh.,Dosen itu tidak suka handphone kemarin sore.
Paitua ba tele baju baru pas ujang sto.,Pacar (lk) menelepon baju baru saat hujan.
Mama so makang doi pas ujang dang.,Ibu sudah makan uang saat hujan.
Paitua so beking doi cepat-cepat neh.,Pacar (lk) sudah membuat uang dengan cepat.
Paitua nyanda suka hp tadi pagi kote.,Pacar (lk) tidak suka handphone tadi pagi.
Mama so beking laporan diam-diam neh.,Ibu sudah membuat laporan diam-diam.
Dorang ada lia tugas skripsi di kampus kote.,Mereka melihat tugas skripsi di kampus.
Torang ba tele hp pas ujang to.,Kami menelepon handphone saat hujan.
Dia ba tele kunci rumah cepat-cepat jo.,Dia menelepon kunci rumah dengan cepat.
Tu dosen so jual baju baru kemarin sore kote.,Dosen itu sudah menjual baju baru kemarin sore.
Dorang lupa bawa laporan di kampus dang.,Mereka lupa membawa laporan di kampus.
Ngoni so jual makanan tadi pagi kote.,Kalian sudah menjual makanan tadi pagi.
Tu dosen ba tele oto di kampus dang.,Dosen itu menelepon mobil di kampus.
Maitua mo pigi cari baju baru diam-diam jo.,Pacar (pr) akan pergi mencari baju baru diam-diam.
Dorang ada lia hp diam-diam dang.,Mereka melihat handphone diam-diam.
Paitua ba tele doi di Megamas dang.,Pacar (lk) menelepon uang di Megamas.
Ngana lupa bawa kunci rumah tadi pagi neh.,Kamu lupa membawa kunci rumah tadi pagi.
Dorang so beking oto cepat-cepat sto.,Mereka sudah membuat mobil dengan cepat.
Ngoni so beking baju baru di kampus kang.,Kalian sudah membuat baju baru di kampus.
Tu dosen mo pigi cari makanan pas ujang kang.,Dosen itu akan pergi mencari makanan saat hujan.
Ngoni so jual doi di kampus neh.,Kalian sudah menjual uang di kampus.
Mama nyanda suka hp di kampus kote.,Ibu tidak suka handphone di kampus.
Dorang nyanda suka tugas skripsi tadi pagi kang.,Mereka tidak suka tugas skripsi tadi pagi.
Maitua nyanda suka kunci rumah diam-diam sto.,Pacar (pr) tidak suka kunci rumah diam-diam.
Maitua ada lia tugas skripsi cepat-cepat to.,Pacar (pr) melihat tugas skripsi dengan cepat.
Maitua mo pigi cari oto pas ujang kang.,Pacar (pr) akan pergi mencari mobil saat hujan.
Torang nyanda suka makanan di kampus kang.,Kami tidak suka makanan di kampus.
Kita nyanda suka doi diam-diam kote.,Saya tidak suka uang diam-diam.
Kita so beking makanan pas ujang jo.,Saya sudah membuat makanan saat hujan.
Maitua mo pigi cari doi di Megamas kang.,Pacar (pr) akan pergi mencari uang di Megamas.
Dorang so makang laporan tadi pagi kote.,Mereka sudah makan laporan tadi pagi.
Maitua lupa bawa baju baru diam-diam dang.,Pacar (pr) lupa membawa baju baru diam-diam.
Ngoni lupa bawa kunci rumah kemarin sore to.,Kalian lupa membawa kunci rumah kemarin sore.
Tu dosen mo pigi cari hp diam-diam sto.,Dosen itu akan pergi mencari handphone diam-diam.
Dorang ada lia baju baru tadi pagi jo.,Mereka melihat baju baru tadi pagi.
Dia nyanda suka baju baru di Megamas dang.,Dia tidak suka baju baru di Megamas.
Paitua so jual kunci rumah kemarin sore jo.,Pacar (lk) sudah menjual kunci rumah kemarin sore.
Dia so beking kunci rumah cepat-cepat kang.,Dia sudah membuat kunci rumah dengan cepat.
Maitua nyanda suka makanan kemarin sore to.,Pacar (pr) tidak suka makanan kemarin sore.
Ngana so makang doi tadi pagi neh.,Kamu sudah makan uang tadi pagi.
Torang lupa bawa laporan pas ujang dang.,Kami lupa membawa laporan saat hujan.
Maitua so makang kunci rumah di Megamas kote.,Pacar (pr) sudah makan kunci rumah di Megamas.
Dia ada lia baju baru pas ujang to.,Dia melihat baju baru saat hujan.
Torang ada lia doi di Megamas jo.,Kami melihat uang di Megamas.
Mama lupa bawa hp di kampus to.,Ibu lupa membawa handphone di kampus.
Tu dosen ada lia makanan tadi pagi sto.,Dosen itu melihat makanan tadi pagi.
Ngana ada lia makanan cepat-cepat kote.,Kamu melihat makanan dengan cepat.
Kita mo pigi cari oto di kampus kang.,Saya akan pergi mencari mobil di kampus.
Dia ba tele tugas skripsi di kampus to.,Dia menelepon tugas skripsi di kampus.
Kita so beking hp tadi pagi sto.,Saya sudah membuat handphone tadi pagi.
Ngoni so makang hp tadi pagi to.,Kalian sudah makan handphone tadi pagi.
Tu dosen ada lia tugas skripsi di Megamas jo.,Dosen itu melihat tugas skripsi di Megamas.
Maitua so makang baju baru tadi pagi kote.,Pacar (pr) sudah makan baju baru tadi pagi.
Mama so makang baju baru di kampus sto.,Ibu sudah makan baju baru di kampus.
Dia mo pigi cari laporan kemarin sore kang.,Dia akan pergi mencari laporan kemarin sore.
Torang so makang kunci rumah diam-diam dang.,Kami sudah makan kunci rumah diam-diam.
Paitua so beking kunci rumah di kampus kang.,Pacar (lk) sudah membuat kunci rumah di kampus.
Ngoni so makang makanan kemarin sore dang.,Kalian sudah makan makanan kemarin sore.
Dorang so makang oto pas ujang jo.,Mereka sudah makan mobil saat hujan.
Ngana so beking makanan di kampus kote.,Kamu sudah membuat makanan di kampus.
Kita lupa bawa tugas skripsi pas ujang dang.,Saya lupa membawa tugas skripsi saat hujan.
Torang ada lia laporan tadi pagi dang.,Kami melihat laporan tadi pagi.
Maitua so jual makanan diam-diam to.,Pacar (pr) sudah menjual makanan diam-diam.
Paitua ba tele hp di kampus neh.,Pacar (lk) menelepon handphone di kampus.
Torang so beking doi tadi pagi kote.,Kami sudah membuat uang tadi pagi.
Paitua mo pigi cari hp diam-diam to.,Pacar (lk) akan pergi mencari handphone diam-diam.
Kita nyanda suka laporan di kampus sto.,Saya tidak suka laporan di kampus.
Tu dosen lupa bawa kunci rumah di Megamas sto.,Dosen itu lupa membawa kunci rumah di Megamas.
Kita lupa bawa makanan di kampus to.,Saya lupa membawa makanan di kampus.
Maitua so beking tugas skripsi di kampus kang.,Pacar (pr) sudah membuat tugas skripsi di kampus.
Ngoni so jual laporan diam-diam to.,Kalian sudah menjual laporan diam-diam.
Ngoni so makang kunci rumah di kampus to.,Kalian sudah makan kunci rumah di kampus.
Paitua ba tele oto cepat-cepat neh.,Pacar (lk) menelepon mobil dengan cepat.
Kita nyanda suka makanan diam-diam sto.,Saya tidak suka makanan diam-diam.
Mama mo pigi cari oto kemarin sore jo.,Ibu akan pergi mencari mobil kemarin sore.
Paitua lupa bawa hp diam-diam dang.,Pacar (lk) lupa membawa handphone diam-diam.
Ngana nyanda suka oto di Megamas kote.,Kamu tidak suka mobil di Megamas.
Dia ba tele baju baru diam-diam sto.,Dia menelepon baju baru diam-diam.
Tu dosen so jual hp cepat-cepat to.,Dosen itu sudah menjual handphone dengan cepat.
Maitua so beking tugas skripsi diam-diam to.,Pacar (pr) sudah membuat tugas skripsi diam-diam.
Tu dosen lupa bawa tugas skripsi kemarin sore neh.,Dosen itu lupa membawa tugas skripsi kemarin sore.
Kita so makang oto pas ujang sto.,Saya sudah makan mobil saat hujan.
Torang mo pigi cari laporan cepat-cepat kote.,Kami akan pergi mencari laporan dengan cepat.
Dia so beking doi tadi pagi jo.,Dia sudah membuat uang tadi pagi.
Ngoni ada lia baju baru di kampus jo.,Kalian melihat baju baru di kampus.
Mama ba tele laporan diam-diam kote.,Ibu menelepon laporan diam-diam.
Dia so beking baju baru di Megamas neh.,Dia sudah membuat baju baru di Megamas.
Paitua lupa bawa oto cepat-cepat dang.,Pacar (lk) lupa membawa mobil dengan cepat.
Maitua ada lia makanan kemarin sore kote.,Pacar (pr) melihat makanan kemarin sore.
Kita so beking tugas skripsi tadi pagi to.,Saya sudah membuat tugas skripsi tadi pagi.
Torang nyanda suka doi kemarin sore kote.,Kami tidak suka uang kemarin sore.
Dorang so jual makanan cepat-cepat neh.,Mereka sudah menjual makanan dengan cepat.
Tu dosen so makang doi di Megamas sto.,Dosen itu sudah makan uang di Megamas.
Dorang so beking makanan di kampus dang.,Mereka sudah membuat makanan di kampus.
Maitua ada lia laporan cepat-cepat kote.,Pacar (pr) melihat laporan dengan cepat.
Ngoni so beking laporan diam-diam dang.,Kalian sudah membuat laporan diam-diam.
Dia so makang baju baru kemarin sore jo.,Dia sudah makan baju baru kemarin sore.
Maitua so makang baju baru diam-diam kote.,Pacar (pr) sudah makan baju baru diam-diam.
Dorang lupa bawa baju baru di Megamas jo.,Mereka lupa membawa baju baru di Megamas.
Ngoni ba tele hp tadi pagi kote.,Kalian menelepon handphone tadi pagi.
Torang so makang baju baru tadi pagi dang.,Kami sudah makan baju baru tadi pagi.
Dorang mo pigi cari oto cepat-cepat jo.,Mereka akan pergi mencari mobil dengan cepat.
Tu dosen ada lia baju baru pas ujang neh.,Dosen itu melihat baju baru saat hujan.
Dorang so makang hp di Megamas neh.,Mereka sudah makan handphone di Megamas.
Paitua so makang baju baru pas ujang to.,Pacar (lk) sudah makan baju baru saat hujan.
Kita so makang makanan tadi pagi to.,Saya sudah makan makanan tadi pagi.
Ngoni lupa bawa makanan di Megamas jo.,Kalian lupa membawa makanan di Megamas.
Mama ada lia makanan pas ujang kang.,Ibu melihat makanan saat hujan.
Tu dosen lupa bawa laporan pas ujang dang.,Dosen itu lupa membawa laporan saat hujan.
Tu dosen nyanda suka tugas skripsi pas ujang jo.,Dosen itu tidak suka tugas skripsi saat hujan.
Mama so jual doi tadi pagi neh.,Ibu sudah menjual uang tadi pagi.
Maitua ba tele oto tadi pagi neh.,Pacar (pr) menelepon mobil tadi pagi.
Ngana ba tele doi di kampus kang.,Kamu menelepon uang di kampus.
Ngoni ba tele makanan pas ujang sto.,Kalian menelepon makanan saat hujan.
Mama ada lia makanan tadi pagi kang.,Ibu melihat makanan tadi pagi.
Mama so beking laporan kemarin sore to.,Ibu sudah membuat laporan kemarin sore.
Mama ada lia makanan di kampus neh.,Ibu melihat makanan di kampus.
Torang ba tele doi di kampus to.,Kami menelepon uang di kampus.
Kita so jual oto di kampus kang.,Saya sudah menjual mobil di kampus.
Paitua so jual oto di kampus to.,Pacar (lk) sudah menjual mobil di kampus.
Mama so jual kunci rumah di kampus jo.,Ibu sudah menjual kunci rumah di kampus.
Maitua so makang baju baru pas ujang kote.,Pacar (pr) sudah makan baju baru saat hujan.
Torang ba tele oto diam-diam dang.,Kami menelepon mobil diam-diam.
Dia so beking baju baru di kampus to.,Dia sudah membuat baju baru di kampus.
Dorang so jual kunci rumah tadi pagi neh.,Mereka sudah menjual kunci rumah tadi pagi.
Ngoni so beking hp tadi pagi neh.,Kalian sudah membuat handphone tadi pagi.
Paitua ada lia baju baru tadi pagi kang.,Pacar (lk) melihat baju baru tadi pagi.
Torang so makang kunci rumah di Megamas to.,Kami sudah makan kunci rumah di Megamas.
Mama nyanda suka doi pas ujang neh.,Ibu tidak suka uang saat hujan.
Dia ba tele tugas skripsi cepat-cepat to.,Dia menelepon tugas skripsi dengan cepat.
Mama ada lia hp kemarin sore kang.,Ibu melihat handphone kemarin sore.
Dia mo pigi cari baju baru tadi pagi kang.,Dia akan pergi mencari baju baru tadi pagi.
Ngoni so makang doi di kampus neh.,Kalian sudah makan uang di kampus.
Tu dosen so beking makanan diam-diam kang.,Dosen itu sudah membuat makanan diam-diam.
Ngoni ba tele laporan di kampus jo.,Kalian menelepon laporan di kampus.
Kita so jual baju baru di Megamas jo.,Saya sudah menjual baju baru di Megamas.
Torang so beking doi di Megamas kang.,Kami sudah membuat uang di Megamas.
Torang lupa bawa doi diam-diam sto.,Kami lupa membawa uang diam-diam.
Paitua lupa bawa kunci rumah diam-diam jo.,Pacar (lk) lupa membawa kunci rumah diam-diam.
Kita lupa bawa doi di kampus neh.,Saya lupa membawa uang di kampus.
Torang mo pigi cari oto diam-diam jo.,Kami akan pergi mencari mobil diam-diam.
Torang so beking makanan cepat-cepat dang.,Kami sudah membuat makanan dengan cepat.
Tu dosen so makang tugas skripsi di kampus kang.,Dosen itu sudah makan tugas skripsi di kampus.
Maitua so beking oto tadi pagi to.,Pacar (pr) sudah membuat mobil tadi pagi.
Ngana so beking oto diam-diam jo.,Kamu sudah membuat mobil diam-diam.
Dia nyanda suka oto pas ujang sto.,Dia tidak suka mobil saat hujan.
Kita nyanda suka laporan diam-diam sto.,Saya tidak suka laporan diam-diam.
Tu dosen so beking oto pas ujang kote.,Dosen itu sudah membuat mobil saat hujan.
Kita lupa bawa baju baru di kampus dang.,Saya lupa membawa baju baru di kampus.
Kita nyanda suka tugas skripsi pas ujang kote.,Saya tidak suka tugas skripsi saat hujan.
Mama so jual hp diam-diam sto.,Ibu sudah menjual handphone diam-diam.
Ngoni ada lia doi cepat-cepat kang.,Kalian melihat uang dengan cepat.
Ngana ada lia hp diam-diam dang.,Kamu melihat handphone diam-diam.
Mama so jual doi tadi pagi sto.,Ibu sudah menjual uang tadi pagi.
Dia so jual tugas skripsi kemarin sore dang.,Dia sudah menjual tugas skripsi kemarin sore.
Kita so beking oto di kampus jo.,Saya sudah membuat mobil di kampus.
Tu dosen mo pigi cari hp diam-diam kang.,Dosen itu akan pergi mencari handphone diam-diam.
Ngana mo pigi cari doi diam-diam sto.,Kamu akan pergi mencari uang diam-diam.
Dia nyanda suka baju baru pas ujang to.,Dia tidak suka baju baru saat hujan.
Dia so beking makanan diam-diam kang.,Dia sudah membuat makanan diam-diam.
Mama so makang doi pas ujang to.,Ibu sudah makan uang saat hujan.
Torang so makang hp tadi pagi jo.,Kami sudah makan handphone tadi pagi.
Ngana so beking tugas skripsi diam-diam kote.,Kamu sudah membuat tugas skripsi diam-diam.
Maitua mo pigi cari makanan di kampus jo.,Pacar (pr) akan pergi mencari makanan di kampus.
Dia ada lia hp pas ujang kang.,Dia melihat handphone saat hujan.
Ngana so makang laporan cepat-cepat kang.,Kamu sudah makan laporan dengan cepat.
Ngoni so beking doi pas ujang sto.,Kalian sudah membuat uang saat hujan.
Paitua lupa bawa doi di kampus jo.,Pacar (lk) lupa membawa uang di kampus.
Kita so beking hp di Megamas dang.,Saya sudah membuat handphone di Megamas.
Maitua ada lia doi diam-diam kote.,Pacar (pr) melihat uang diam-diam.
Kita so beking baju baru pas ujang kote.,Saya sudah membuat baju baru saat hujan.
Ngoni nyanda suka laporan tadi pagi dang.,Kalian tidak suka laporan tadi pagi.
Mama so beking laporan di Megamas neh.,Ibu sudah membuat laporan di Megamas.
Torang ada lia doi cepat-cepat to.,Kami melihat uang dengan cepat.
Mama nyanda suka tugas skripsi kemarin sore jo.,Ibu tidak suka tugas skripsi kemarin sore.
Paitua so jual hp diam-diam to.,Pacar (lk) sudah menjual handphone diam-diam.
Dorang so jual doi kemarin sore kang.,Mereka sudah menjual uang kemarin sore.
Kita ada lia doi tadi pagi kang.,Saya melihat uang tadi pagi.
Tu dosen lupa bawa kunci rumah diam-diam dang.,Dosen itu lupa membawa kunci rumah diam-diam.
Kita so beking makanan kemarin sore dang.,Saya sudah membuat makanan kemarin sore.
Torang ada lia tugas skripsi tadi pagi jo.,Kami melihat tugas skripsi tadi pagi.
Torang lupa bawa doi di kampus dang.,Kami lupa membawa uang di kampus.
Torang mo pigi cari tugas skripsi di Megamas kote.,Kami akan pergi mencari tugas skripsi di Megamas.
Kita so makang doi pas ujang neh.,Saya sudah makan uang saat hujan.
Tu dosen mo pigi cari baju baru pas ujang kang.,Dosen itu akan pergi mencari baju baru saat hujan.
Kita so makang kunci rumah diam-diam neh.,Saya sudah makan kunci rumah diam-diam.
Maitua ada lia laporan diam-diam sto.,Pacar (pr) melihat laporan diam-diam.
Maitua nyanda suka baju baru tadi pagi dang.,Pacar (pr) tidak suka baju baru tadi pagi.
Dia ba tele tugas skripsi kemarin sore to.,Dia menelepon tugas skripsi kemarin sore.
Mama so jual makanan diam-diam to.,Ibu sudah menjual makanan diam-diam.
Torang so jual makanan di kampus dang.,Kami sudah menjual makanan di kampus.
Paitua ada lia tugas skripsi tadi pagi jo.,Pacar (lk) melihat tugas skripsi tadi pagi.
Paitua nyanda suka makanan di kampus neh.,Pacar (lk) tidak suka makanan di kampus.
Kita ba tele laporan di Megamas sto.,Saya menelepon laporan di Megamas.
Kita ada lia hp kemarin sore kang.,Saya melihat handphone kemarin sore.
Maitua so jual oto di Megamas kang.,Pacar (pr) sudah menjual mobil di Megamas.
Maitua so jual kunci rumah diam-diam to.,Pacar (pr) sudah menjual kunci rumah diam-diam.
Mama so jual doi diam-diam sto.,Ibu sudah menjual uang diam-diam.
Torang so beking hp kemarin sore kote.,Kami sudah membuat handphone kemarin sore.
Ngoni mo pigi cari makanan diam-diam dang.,Kalian akan pergi mencari makanan diam-diam.
Maitua so beking oto di kampus to.,Pacar (pr) sudah membuat mobil di kampus.
Paitua so makang kunci rumah di kampus dang.,Pacar (lk) sudah makan kunci rumah di kampus.
Kita lupa bawa tugas skripsi cepat-cepat kote.,Saya lupa membawa tugas skripsi dengan cepat.
Mama so beking baju baru diam-diam kote.,Ibu sudah membuat baju baru diam-diam.
Maitua ada lia oto di Megamas kang.,Pacar (pr) melihat mobil di Megamas.
Torang lupa bawa tugas skripsi tadi pagi kang.,Kami lupa membawa tugas skripsi tadi pagi.
Paitua mo pigi cari makanan di Megamas neh.,Pacar (lk) akan pergi mencari makanan di Megamas.
Kita so makang doi tadi pagi kote.,Saya sudah makan uang tadi pagi.
Dorang ada lia oto diam-diam kote.,Mereka melihat mobil diam-diam.
Mama mo pigi cari baju baru tadi pagi neh.,Ibu akan pergi mencari baju baru tadi pagi.
Dia ba tele hp tadi pagi jo.,Dia menelepon handphone tadi pagi.
Tu dosen lupa bawa doi di kampus kote.,Dosen itu lupa membawa uang di kampus.
Ngoni mo pigi cari kunci rumah di Megamas sto.,Kalian akan pergi mencari kunci rumah di Megamas.
Tu dosen so makang laporan cepat-cepat kote.,Dosen itu sudah makan laporan dengan cepat.
Tu dosen lupa bawa makanan di kampus kote.,Dosen itu lupa membawa makanan di kampus.
Dia so makang kunci rumah tadi pagi kote.,Dia sudah makan kunci rumah tadi pagi.
Kita lupa bawa hp pas ujang sto.,Saya lupa membawa handphone saat hujan.
Mama mo pigi cari hp kemarin sore kote.,Ibu akan pergi mencari handphone kemarin sore.
Dorang nyanda suka doi kemarin sore dang.,Mereka tidak suka uang kemarin sore.
Ngoni so beking makanan di kampus jo.,Kalian sudah membuat makanan di kampus.
Ngoni so makang hp tadi pagi kang.,Kalian sudah makan handphone tadi pagi.
Paitua nyanda suka tugas skripsi diam-diam neh.,Pacar (lk) tidak suka tugas skripsi diam-diam.
Mama lupa bawa hp di kampus to.,Ibu lupa membawa handphone di kampus.
Kita so makang tugas skripsi di Megamas jo.,Saya sudah makan tugas skripsi di Megamas.
Dia ba tele makanan tadi pagi kang.,Dia menelepon makanan tadi pagi.
Ngoni nyanda suka doi cepat-cepat to.,Kalian tidak suka uang dengan cepat.
Dia so makang tugas skripsi diam-diam kang.,Dia sudah makan tugas skripsi diam-diam.
Maitua ba tele oto tadi pagi sto.,Pacar (pr) menelepon mobil tadi pagi.
Mama ba tele doi diam-diam neh.,Ibu menelepon uang diam-diam.
Dia so makang makanan cepat-cepat kang.,Dia sudah makan makanan dengan cepat.
Dorang ba tele doi di kampus jo.,Mereka menelepon uang di kampus.
Kita nyanda suka baju baru diam-diam kote.,Saya tidak suka baju baru diam-diam.
Ngana lupa bawa laporan cepat-cepat sto.,Kamu lupa membawa laporan dengan cepat.
Maitua so jual laporan di kampus kote.,Pacar (pr) sudah menjual laporan di kampus.
Paitua mo pigi cari hp di Megamas kang.,Pacar (lk) akan pergi mencari handphone di Megamas.
Dorang so beking hp diam-diam kote.,Mereka sudah membuat handphone diam-diam.
Paitua ba tele kunci rumah di kampus sto.,Pacar (lk) menelepon kunci rumah di kampus.
Ngoni mo pigi cari tugas skripsi kemarin sore kang.,Kalian akan pergi mencari tugas skripsi kemarin sore.
Ngana lupa bawa laporan cepat-cepat neh.,Kamu lupa membawa laporan dengan cepat.
Paitua lupa bawa tugas skripsi kemarin sore to.,Pacar (lk) lupa membawa tugas skripsi kemarin sore.
Tu dosen so beking doi pas ujang jo.,Dosen itu sudah membuat uang saat hujan.
Tu dosen ada lia hp cepat-cepat kang.,Dosen itu melihat handphone dengan cepat.
Ngana ada lia doi diam-diam dang.,Kamu melihat uang diam-diam.
Paitua so beking laporan cepat-cepat neh.,Pacar (lk) sudah membuat laporan dengan cepat.
Mama ba tele tugas skripsi pas ujang dang.,Ibu menelepon tugas skripsi saat hujan.
Tu dosen nyanda suka baju baru diam-diam kang.,Dosen itu tidak suka baju baru diam-diam.
Mama ba tele baju baru diam-diam kote.,Ibu menelepon baju baru diam-diam.
Maitua so jual kunci rumah kemarin sore to.,Pacar (pr) sudah menjual kunci rumah kemarin sore.
Kita so makang makanan cepat-cepat sto.,Saya sudah makan makanan dengan cepat.
Tu dosen ada lia doi cepat-cepat to.,Dosen itu melihat uang dengan cepat.
Mama so jual kunci rumah diam-diam jo.,Ibu sudah menjual kunci rumah diam-diam.
Dia so makang doi cepat-cepat kote.,Dia sudah makan uang dengan cepat.
Torang ba tele laporan diam-diam neh.,Kami menelepon laporan diam-diam.
Ngana so beking hp diam-diam neh.,Kamu sudah membuat handphone diam-diam.
Kita so makang laporan di Megamas jo.,Saya sudah makan laporan di Megamas.
Tu dosen mo pigi cari laporan kemarin sore to.,Dosen itu akan pergi mencari laporan kemarin sore.
Ngana so beking oto diam-diam kang.,Kamu sudah membuat mobil diam-diam.
Dorang so beking hp tadi pagi dang.,Mereka sudah membuat handphone tadi pagi.
Mama so makang baju baru kemarin sore kang.,Ibu sudah makan baju baru kemarin sore.
Torang so makang baju baru diam-diam kote.,Kami sudah makan baju baru diam-diam.
Ngoni ba tele makanan cepat-cepat kang.,Kalian menelepon makanan dengan cepat.
Kita mo pigi cari doi cepat-cepat kang.,Saya akan pergi mencari uang dengan cepat.
Maitua lupa bawa baju baru pas ujang kote.,Pacar (pr) lupa membawa baju baru saat hujan.
Ngoni so beking kunci rumah cepat-cepat kang.,Kalian sudah membuat kunci rumah dengan cepat.
Mama nyanda suka makanan kemarin sore kote.,Ibu tidak suka makanan kemarin sore.
Maitua nyanda suka tugas skripsi diam-diam to.,Pacar (pr) tidak suka tugas skripsi diam-diam.
Torang nyanda suka hp tadi pagi sto.,Kami tidak suka handphone tadi pagi.
Mama so makang laporan tadi pagi to.,Ibu sudah makan laporan tadi pagi.
Ngoni ada lia hp diam-diam neh.,Kalian melihat handphone diam-diam.
Dia mo pigi cari kunci rumah cepat-cepat sto.,Dia akan pergi mencari kunci rumah dengan cepat.
Dorang so beking tugas skripsi di kampus kang.,Mereka sudah membuat tugas skripsi di kampus.
Torang so beking tugas skripsi di Megamas kang.,Kami sudah membuat tugas skripsi di Megamas.
Ngoni so beking makanan di kampus kang.,Kalian sudah membuat makanan di kampus.
Dia so makang makanan di Megamas kang.,Dia sudah makan makanan di Megamas.
Torang mo pigi cari makanan di Megamas kang.,Kami akan pergi mencari makanan di Megamas.
Paitua so makang kunci rumah di Megamas to.,Pacar (lk) sudah makan kunci rumah di Megamas.
Tu dosen so beking baju baru di kampus to.,Dosen itu sudah membuat baju baru di kampus.
Kita so jual baju baru di Megamas sto.,Saya sudah menjual baju baru di Megamas.
Ngana ba tele makanan kemarin sore neh.,Kamu menelepon makanan kemarin sore.
Ngoni so makang makanan di kampus jo.,Kalian sudah makan makanan di kampus.
Mama lupa bawa kunci rumah diam-diam dang.,Ibu lupa membawa kunci rumah diam-diam.
Torang lupa bawa laporan pas ujang sto.,Kami lupa membawa laporan saat hujan.
Tu dosen so beking kunci rumah pas ujang jo.,Dosen itu sudah membuat kunci rumah saat hujan.
Dia so jual makanan tadi pagi dang.,Dia sudah menjual makanan tadi pagi.
Ngoni mo pigi cari kunci rumah di Megamas kang.,Kalian akan pergi mencari kunci rumah di Megamas.
Ngoni so jual hp cepat-cepat kote.,Kalian sudah menjual handphone dengan cepat.
Dorang ada lia baju baru diam-diam jo.,Mereka melihat baju baru diam-diam.
Paitua ada lia hp tadi pagi kang.,Pacar (lk) melihat handphone tadi pagi.
Dia so makang baju baru kemarin sore neh.,Dia sudah makan baju baru kemarin sore.
Paitua lupa bawa tugas skripsi di Megamas to.,Pacar (lk) lupa membawa tugas skripsi di Megamas.
Ngana ada lia laporan kemarin sore kote.,Kamu melihat laporan kemarin sore.
Torang so jual doi pas ujang kang.,Kami sudah menjual uang saat hujan.
Tu dosen nyanda suka tugas skripsi di Megamas to.,Dosen itu tidak suka tugas skripsi di Megamas.
Ngana so jual oto kemarin sore kang.,Kamu sudah menjual mobil kemarin sore.
Dorang ba tele oto diam-diam sto.,Mereka menelepon mobil diam-diam.
Dorang so jual oto di kampus jo.,Mereka sudah menjual mobil di kampus.
Maitua so jual baju baru cepat-cepat dang.,Pacar (pr) sudah menjual baju baru dengan cepat.
Tu dosen so jual hp tadi pagi jo.,Dosen itu sudah menjual handphone tadi pagi.
Tu dosen lupa bawa hp di kampus neh.,Dosen itu lupa membawa handphone di kampus.
Kita lupa bawa doi di kampus dang.,Saya lupa membawa uang di kampus.
Ngana so beking oto diam-diam neh.,Kamu sudah membuat mobil diam-diam.
Kita so beking kunci rumah kemarin sore to.,Saya sudah membuat kunci rumah kemarin sore.
Ngana so jual hp diam-diam to.,Kamu sudah menjual handphone diam-diam.
Ngoni lupa bawa baju baru tadi pagi neh.,Kalian lupa membawa baju baru tadi pagi.
Ngana so beking laporan di Megamas sto.,Kamu sudah membuat laporan di Megamas.
Dorang nyanda suka laporan cepat-cepat to.,Mereka tidak suka laporan dengan cepat.
Torang nyanda suka laporan kemarin sore kang.,Kami tidak suka laporan kemarin sore.
Ngana nyanda suka makanan di Megamas to.,Kamu tidak suka makanan di Megamas.
Maitua mo pigi cari hp diam-diam neh.,Pacar (pr) akan pergi mencari handphone diam-diam.
Paitua ba tele oto di kampus neh.,Pacar (lk) menelepon mobil di kampus.
Tu dosen nyanda suka hp diam-diam kote.,Dosen itu tidak suka handphone diam-diam.
Ngoni so makang kunci rumah cepat-cepat kote.,Kalian sudah makan kunci rumah dengan cepat.
Ngoni so jual oto cepat-cepat dang.,Kalian sudah menjual mobil dengan cepat.
Ngoni so beking hp kemarin sore neh.,Kalian sudah membuat handphone kemarin sore.
Tu dosen ada lia baju baru diam-diam to.,Dosen itu melihat baju baru diam-diam.
Dia lupa bawa doi tadi pagi sto.,Dia lupa membawa uang tadi pagi.
Torang nyanda suka baju baru tadi pagi dang.,Kami tidak suka baju baru tadi pagi.
Ngoni so makang kunci rumah pas ujang jo.,Kalian sudah makan kunci rumah saat hujan.
Paitua ba tele hp tadi pagi dang.,Pacar (lk) menelepon handphone tadi pagi.
Mama so makang hp tadi pagi sto.,Ibu sudah makan handphone tadi pagi.
Ngoni ada lia baju baru diam-diam kote.,Kalian melihat baju baru diam-diam.
Dia ba tele doi diam-diam neh.,Dia menelepon uang diam-diam.
Torang mo pigi cari doi di Megamas sto.,Kami akan pergi mencari uang di Megamas.
Kita so jual tugas skripsi diam-diam sto.,Saya sudah menjual tugas skripsi diam-diam.
Torang so beking hp di Megamas kang.,Kami sudah membuat handphone di Megamas.
Tu dosen so makang hp pas ujang to.,Dosen itu sudah makan handphone saat hujan.
Dia ba tele makanan di kampus jo.,Dia menelepon makanan di kampus.
Paitua lupa bawa baju baru tadi pagi sto.,Pacar (lk) lupa membawa baju baru tadi pagi.
Torang so jual tugas skripsi di kampus neh.,Kami sudah menjual tugas skripsi di kampus.
Ngoni so makang tugas skripsi cepat-cepat jo.,Kalian sudah makan tugas skripsi dengan cepat.
Maitua ada lia kunci rumah cepat-cepat to.,Pacar (pr) melihat kunci rumah dengan cepat.
Torang so jual tugas skripsi di kampus to.,Kami sudah menjual tugas skripsi di kampus.
